ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
55,null,2019-12-06T20:11:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.514728,0.008098,955319,On or near Bus/Coach Station,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
56,25-34,2019-12-10T00:55:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.515728,0.009036,955399,On or near A13,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
57,over 34,2019-12-09T18:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.535202,0.011912,963749,On or near Cridland Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Caribbean,Person and Vehicle search
58,25-34,2019-12-10T06:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.518341,0.024415,962316,On or near Eclipse Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Asian/Asian British - Any other Asian background,Person search
59,null,2019-12-09T23:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.518341,0.024415,962316,On or near Eclipse Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
60,over 34,2019-12-10T09:15:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.529259,0.025433,963591,On or near The Broadway,Evidence of offences under the Act,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
61,18-24,2019-12-09T15:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.536438,0.01276,923841,On or near Richford Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
62,25-34,2019-12-10T11:25:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,White,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,White - Any other White background,Person search
63,over 34,2019-12-10T12:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533942,0.034393,963460,On or near Parking Area,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person and Vehicle search
64,25-34,2019-12-10T12:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533942,0.034393,963460,On or near Parking Area,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
65,18-24,2019-12-10T11:00:00+00:00,Male,TRUE,Firearms Act 1968 (section 47),51.52734,0.00577,962130,On or near Teasel Way,Firearms,Black,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Black/African/Caribbean/Black British - Caribbean,Person search
66,25-34,2019-12-10T23:53:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519285,0.029156,962288,On or near Holborn Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
67,18-24,2019-12-11T00:01:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519285,0.029156,962288,On or near Holborn Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
68,25-34,2019-12-10T23:23:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.521655,0.026263,962309,On or near Applewood Drive,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
69,25-34,2019-12-10T23:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519285,0.029156,962288,On or near Holborn Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
70,over 34,2019-12-11T00:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.518939,0.007952,962172,On or near Avondale Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
